issue_type,column,severity,affected_rows,metric,details
missing_values,description,high,38,27.34,Column contains missing values
missing_values,content,high,38,27.34,Column contains missing values
missing_values,type,critical,96,69.06,Column contains missing values
missing_values,publishedAt,high,61,43.88,Column contains missing values
missing_values,date,critical,78,56.12,Column contains missing values
missing_values,url,high,38,27.34,Column contains missing values
missing_values,mention_date,high,61,43.88,Column contains missing values
missing_values,overview,high,38,27.34,Column contains missing values
zero_as_missing_candidate,content_length,medium,61,43.88,43.88% of non-null values are zero
duplicate_identifier,url,high,44,43.56,Detected duplicate values in url
duplicate_identifier,title,medium,75,53.96,Detected duplicate values in title
